node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,tag,rho,slowdown,slowdown_pct
edge_fast,decode,4,512,28,9.992964536650106,3.56173038482666,8.380798011785373,0p50,0.4985,1.1923643217027362,19.23643217027362
edge_fast,prefill,4,2048,28,287.5423019868322,5.444850921630859,219.9476435198449,0p50,0.4985,1.3073215851975633,30.732158519756325
edge_fast,decode,4,2048,28,11.300714977551252,5.425539493560791,8.852863014908507,0p50,0.4985,1.2765039918182945,27.650399181829457
edge_fast,prefill,8,128,28,36.24164601205848,3.204265594482422,27.880439505679533,0p50,0.4985,1.2998950753511502,29.989507535115024
edge_fast,decode,8,128,28,10.82857049186714,3.2038450241088867,7.923835015390068,0p50,0.4985,1.3665820238350936,36.65820238350936
edge_fast,prefill,8,512,28,148.91865948447958,4.165493011474609,114.75436598993838,0p50,0.4985,1.2977167204037945,29.77167204037945
edge_fast,decode,8,512,28,10.931480006547645,4.156306266784668,8.30898099229671,0p50,0.4985,1.3156222184985455,31.562221849854556
edge_fast,prefill,8,2048,28,593.3025050035212,8.00551986694336,457.14936798322015,0p50,0.4985,1.2978307453884497,29.783074538844968
edge_fast,decode,8,2048,28,10.299426008714365,7.966894626617432,9.574528987286612,0p50,0.4985,1.0757109850928745,7.571098509287455
edge_fast,prefill,1,128,28,11.108072969364002,2.925077438354492,9.655238507548347,0p60,0.58975,1.1504711106494,15.047111064940012
edge_fast,decode,1,128,28,9.24517700332217,2.9250259399414062,8.546328492229804,0p60,0.58975,1.081771782084874,8.177178208487401
edge_fast,prefill,1,512,28,23.434791510226205,3.04446792602539,17.43668701965362,0p60,0.58975,1.343993356295945,34.399335629594496
edge_fast,decode,1,512,28,10.273120482452214,3.043076515197754,7.807021989719942,0p60,0.58975,1.3158820989590598,31.588209895905983
edge_fast,prefill,1,2048,28,79.52798300539143,3.5248374938964844,58.13206150196493,0p60,0.58975,1.368057160723662,36.8057160723662
edge_fast,decode,1,2048,28,9.728740522405133,3.561000347137451,7.888109510531649,0p60,0.58975,1.2333424769795605,23.334247697956044
edge_fast,prefill,4,128,28,23.002622474450614,3.04446792602539,16.968926502158865,0p60,0.58975,1.3555732280132224,35.55732280132224
edge_fast,decode,4,128,28,10.910425015026703,3.044468879699707,8.309366996400058,0p60,0.58975,1.3130272161229037,31.302721612290373
edge_fast,prefill,4,512,28,77.28984803543426,3.5248374938964844,55.57264748495072,0p60,0.58975,1.3907893817073342,39.07893817073342
edge_fast,decode,4,512,28,10.704120009904727,3.56173038482666,8.380798011785373,0p60,0.58975,1.2772196627161538,27.721966271615383
edge_fast,prefill,4,2048,28,303.45407547429204,5.444850921630859,219.9476435198449,0p60,0.58975,1.3796650449083476,37.966504490834765
edge_fast,decode,4,2048,28,12.406168010784311,5.425539493560791,8.852863014908507,0p60,0.58975,1.4013735432132999,40.13735432132999
edge_fast,prefill,8,128,28,37.82211101497524,3.204265594482422,27.880439505679533,0p60,0.58975,1.3565823095174123,35.65823095174123
edge_fast,decode,8,128,28,9.154608531389384,3.2038450241088867,7.923835015390068,0p60,0.58975,1.1553254848957413,15.532548489574127
edge_fast,prefill,8,512,28,156.27186649362557,4.165493011474609,114.75436598993838,0p60,0.58975,1.361794517755668,36.179451775566804
edge_fast,decode,8,512,28,11.101861979113892,4.156306266784668,8.30898099229671,0p60,0.58975,1.3361279787986604,33.612797879866044
edge_fast,prefill,8,2048,28,631.3977845129557,8.00551986694336,457.14936798322015,0p60,0.58975,1.3811629824590097,38.11629824590097
