method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.04243814945220947,0.04074355959892273,0.9761904761904763,1,1,0,6,6,0,1,1,0,4,-0.22098419070243835,-0.3024713099002838,-0.08148711919784546,8,64,91065
MSN,0.0,0.0,1.0,1,1,0,4,4,0,1,1,0,6,-0.5546426177024841,-0.5546426177024841,0.0,7,65,91066
TMC-Stage1,0.04779040813446045,0.039816549846104214,1.0,0,0,0,6,6,0,1,1,0,6,-0.20052911837895704,-0.2818212409814198,-0.08129212260246277,7,65,91066
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,5,-0.166473388671875,-0.166473388671875,0.0,8,66,91067
TMC-Stage1,0.04351162910461426,0.04055851697921753,1.0,1,1,0,6,6,0,1,1,0,5,-0.1494724154472351,-0.23058944940567017,-0.08111703395843506,8,66,91067
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,67,91068
TMC-Stage1,0.001973748207092285,0.0019461512565612793,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,67,91068
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,68,91069
TMC-Stage1,2.384185791015625e-07,1.1920928955078125e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,68,91069
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,69,91070
TMC-Stage1,2.384185791015625e-07,5.960464477539063e-08,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,69,91070
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,70,91071
TMC-Stage1,0.001834869384765625,0.0016602873802185059,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,70,91071
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.5149623155593872,0.5149623155593872,0.0,8,71,91072
TMC-Stage1,0.0431133508682251,0.04029729962348938,1.0,0,0,0,6,6,0,1,1,0,6,0.1576850414276123,0.07709044218063354,-0.08059459924697876,8,71,91072
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.45153486728668213,0.45153486728668213,0.0,8,72,91073
TMC-Stage1,0.06339824199676514,0.059092581272125244,1.0,0,0,0,6,6,0,1,1,0,6,0.27225741744041443,0.15407225489616394,-0.11818516254425049,8,72,91073
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,73,91074
TMC-Stage1,0.0032570958137512207,0.0016285032033920288,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,73,91074
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.25737422704696655,0.25737422704696655,0.0,12,74,91075
TMC-Stage1,0.05712991952896118,0.036902159452438354,1.0,1,1,0,6,6,0,1,1,0,6,0.1430259495973587,0.05999607592821121,-0.08302987366914749,12,74,91075
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.30450940132141113,0.30450940132141113,0.0,12,75,91076
TMC-Stage1,0.07194948196411133,0.0467093288898468,0.9720279720279721,0,0,0,6,6,0,1,1,0,6,0.2259223684668541,0.12082640081644058,-0.10509596765041351,12,75,91076
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,76,91077
TMC-Stage1,0.0012865066528320312,0.000643312931060791,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,76,91077
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.4304157495498657,0.4304157495498657,0.0,12,77,91078
TMC-Stage1,0.0696951150894165,0.04483848810195923,0.9930069930069931,0,0,0,6,6,0,1,1,0,6,0.25639405846595764,0.15550747513771057,-0.10088658332824707,12,77,91078
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,4,-0.26516303420066833,-0.26516303420066833,0.0,12,78,91079
