episode_seed,mapping_id,node_id,group_size,batch_size,selected_matches_baseline,candidate_count,risk_reducing_count,best_relative_regret,best_absolute_regret,best_risk_reduction,best_candidate_ids,baseline_ids,accepted_rel_0p01,max_risk_reduction_rel_0p01,accepted_rel_0p02,max_risk_reduction_rel_0p02,accepted_rel_0p05,max_risk_reduction_rel_0p05,accepted_rel_0p1,max_risk_reduction_rel_0p1
20031,3,edge_2,1,2,1,4,1,0.29944854437743645,2.028769126114904,0.004924177886720421,r0010|r0011,r0008|r0010,0,,0,,0,,0,
20031,4,edge_2,1,2,1,1,0,,,,,r0000|r0011,0,,0,,0,,0,
20031,5,edge_2,1,3,1,7,0,,,,,r0005|r0012|r0014,0,,0,,0,,0,
20031,6,edge_2,1,2,1,1,0,,,,,r0013|r0017,0,,0,,0,,0,
20032,0,cloud_0,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20032,1,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20032,2,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20032,3,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20032,4,cloud_0,1,4,1,1,0,,,,,r0003|r0006|r0010|r0020,0,,0,,0,,0,
20032,5,cloud_0,1,3,1,4,0,,,,,r0008|r0012|r0016,0,,0,,0,,0,
20032,6,cloud_0,1,1,1,1,0,,,,,r0009,0,,0,,0,,0,
20033,0,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20033,1,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20033,2,cloud_0,1,3,1,6,0,,,,,r0017|r0020|r0022,0,,0,,0,,0,
20033,3,cloud_0,1,6,1,7,1,0.0012099194643314058,0.008082569802371431,0.22134147700498447,r0000|r0004|r0005|r0009|r0013|r0021,r0000|r0004|r0009|r0013|r0014|r0021,1,0.22134147700498447,1,0.22134147700498447,1,0.22134147700498447,1,0.22134147700498447
20033,4,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20034,0,edge_5,1,1,1,1,0,,,,,r0018,0,,0,,0,,0,
20034,1,edge_5,1,2,1,1,0,,,,,r0010|r0015,0,,0,,0,,0,
20034,2,edge_5,1,1,1,1,0,,,,,r0021,0,,0,,0,,0,
20034,3,edge_5,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20034,4,edge_5,1,4,1,1,0,,,,,r0007|r0008|r0020|r0022,0,,0,,0,,0,
20034,5,edge_5,1,3,1,1,0,,,,,r0005|r0013|r0023,0,,0,,0,,0,
20035,0,cloud_0,1,1,1,1,0,,,,,r0021,0,,0,,0,,0,
20035,1,cloud_0,1,3,1,4,0,,,,,r0001|r0002|r0013,0,,0,,0,,0,
20035,2,cloud_0,1,3,1,7,0,,,,,r0005|r0011|r0012,0,,0,,0,,0,
20035,3,cloud_0,1,5,1,1,0,,,,,r0007|r0008|r0009|r0010|r0018,0,,0,,0,,0,
20036,0,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20036,1,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20036,2,cloud_0,1,2,1,1,0,,,,,r0018|r0021,0,,0,,0,,0,
20036,3,cloud_0,1,2,1,4,0,,,,,r0000|r0019,0,,0,,0,,0,
20036,4,cloud_0,1,3,1,1,0,,,,,r0002|r0003|r0008,0,,0,,0,,0,
20036,5,cloud_0,1,2,1,3,0,,,,,r0005|r0015,0,,0,,0,,0,
20036,6,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20037,0,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20037,1,cloud_0,1,5,1,1,0,,,,,r0002|r0004|r0009|r0015|r0023,0,,0,,0,,0,
20037,2,cloud_0,1,2,1,1,0,,,,,r0011|r0019,0,,0,,0,,0,
20037,3,cloud_0,1,2,1,1,0,,,,,r0008|r0013,0,,0,,0,,0,
20037,4,cloud_0,1,1,1,1,0,,,,,r0020,0,,0,,0,,0,
20037,5,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20038,0,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20038,1,cloud_0,1,4,1,11,0,,,,,r0004|r0014|r0016|r0017,0,,0,,0,,0,
20038,2,cloud_0,1,6,1,7,0,,,,,r0002|r0005|r0007|r0010|r0018|r0023,0,,0,,0,,0,
20038,3,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20039,0,cloud_0,1,1,1,1,0,,,,,r0014,0,,0,,0,,0,
20039,1,cloud_0,1,3,1,1,0,,,,,r0000|r0004|r0009,0,,0,,0,,0,
20039,2,cloud_0,1,2,1,1,0,,,,,r0010|r0011,0,,0,,0,,0,
20039,3,cloud_0,1,4,1,1,0,,,,,r0002|r0006|r0019|r0022,0,,0,,0,,0,
20039,4,cloud_0,1,2,1,1,0,,,,,r0012|r0021,0,,0,,0,,0,
20040,0,cloud_0,1,1,1,1,0,,,,,r0014,0,,0,,0,,0,
20040,1,cloud_0,1,3,1,1,0,,,,,r0012|r0013|r0015,0,,0,,0,,0,
20040,2,cloud_0,1,3,1,4,0,,,,,r0001|r0006|r0023,0,,0,,0,,0,
20040,3,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20040,4,cloud_0,1,1,1,1,0,,,,,r0016,0,,0,,0,,0,
20040,5,cloud_0,1,3,1,1,0,,,,,r0007|r0009|r0011,0,,0,,0,,0,
20041,0,cloud_0,1,1,1,1,0,,,,,r0014,0,,0,,0,,0,
20041,1,cloud_0,1,3,1,1,0,,,,,r0003|r0005|r0009,0,,0,,0,,0,
20041,2,cloud_0,1,1,1,1,0,,,,,r0018,0,,0,,0,,0,
