episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20016,r0023,0,0.0,0.0,0.2515487671052185,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20017,r0020,0,4018.6741981259947,3720.440535083859,-0.07421195357941926,0.3,1,1,1,0.0,0.0,0.0,0.0,224,0
20017,r0010,0,460.56578680812527,366.7343527655842,-0.20373079531769872,0.3,1,1,1,0.0,0.0,0.0,0.0,26,0
20017,r0010,1,3019.34405333989,2970.656864434093,-0.01612508811373803,0.3,1,1,0,0.0,0.0,0.0,0.0,153,0
20017,r0012,0,542.781564780762,607.3147320597031,0.11889343976707667,0.3,1,1,0,0.0,0.0,0.0,0.0,26,0
20017,r0012,1,7265.01107459842,9009.198037612874,0.24008042728425788,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20017,r0001,0,4032.874771248931,5097.528610635463,0.263993776096554,0.3,1,1,0,0.0,0.0,0.0,0.0,172,0
20017,r0023,0,1812.633420149181,2016.068449716144,0.11223175480799663,0.3,1,1,0,0.0,0.0,0.0,0.0,77,0
20017,r0023,1,5424.587909869122,6567.800825210902,0.21074649988838717,0.3,1,1,0,0.0,0.0,0.0,0.0,232,0
20017,r0003,0,5519.964879315787,5212.880274571481,-0.055631622928435986,0.3,1,1,0,0.0,0.0,0.0,0.0,290,0
20017,r0004,0,14.905257969818194,13.86090594958046,-0.07006601444620775,0.3,1,1,1,0.0,0.0,0.0,0.0,0,0
20018,r0017,0,5358.803136574814,4896.855614997382,-0.08620348794389468,0.3,1,1,0,0.0,0.0,0.0,0.0,269,0
20018,r0021,0,0.0,0.0,-0.2808113210126552,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0002,0,3383.575586359839,2385.51795468824,-0.29497128295140046,0.3,1,1,0,0.0,0.0,0.0,0.0,163,0
20018,r0002,1,3545.745451406852,4425.328823559571,0.24806726376923777,0.3,1,1,0,0.0,0.0,0.0,0.0,158,0
20018,r0014,0,0.0,0.0,0.09094002827964381,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0010,0,370.2979050012691,360.5411505996019,-0.02634839211859369,0.3,1,1,0,0.0,0.0,0.0,0.0,16,0
20018,r0010,1,5633.778606587737,5795.1998425816355,0.028652392517722225,0.3,1,1,0,0.0,0.0,0.0,0.0,273,0
20018,r0006,0,0.0,0.0,-0.050980057025787284,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20018,r0006,1,2383.082291825096,1755.87296111895,-0.2631924767590776,0.3,1,1,0,0.0,0.0,0.0,0.0,120,0
20019,r0023,0,1739.7133880063993,1276.1676763276714,-0.2664494708579105,0.3,1,1,1,0.0,0.0,0.0,0.0,61,0
20019,r0023,1,3992.4882237872043,4804.867954702076,0.20347705124706955,0.3,1,1,0,0.0,0.0,0.0,0.0,131,0
20019,r0005,0,0.0,0.0,-0.2867245095223904,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20019,r0022,0,6048.295228409632,5252.526256632517,-0.1315691350579721,0.3,1,1,1,0.0,0.0,0.0,0.0,203,0
20019,r0022,1,3660.0939083277917,2624.992892472836,-0.2828072289346993,0.3,1,1,0,0.0,0.0,0.0,0.0,115,0
20019,r0009,0,97.65218666675719,109.59338725303836,0.12228298201893922,0.3,1,1,0,0.0,0.0,0.0,0.0,3,0
20019,r0009,1,6065.388589952472,4512.387170761236,-0.256043186048102,0.3,1,1,0,0.0,0.0,0.0,0.0,194,0
20019,r0009,2,6635.9955331276215,6094.934340586338,-0.08153429125144007,0.3,1,1,0,0.0,0.0,0.0,0.0,208,0
20019,r0003,0,0.0,0.0,-0.1773832369808632,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20020,r0008,0,1414.9534947296079,1822.0692938012473,0.2877238019398212,0.3,1,1,0,0.0,0.0,0.0,0.0,73,0
20020,r0008,1,6043.524363837851,5297.500474775198,-0.12344186010510286,0.3,1,1,0,0.0,0.0,0.0,0.0,270,0
20020,r0007,0,320.2043142715265,372.00558947186727,0.16177569411639564,0.3,1,1,1,0.0,0.0,0.0,0.0,15,0
20020,r0007,1,6462.179623124706,5444.882958536942,-0.15742314883161096,0.3,1,1,0,0.0,0.0,0.0,0.0,329,0
20020,r0017,0,2845.4237563763018,3640.062816160119,0.27926914506252815,0.3,1,1,0,0.0,0.0,0.0,0.0,137,0
20020,r0017,1,3215.862023995396,3936.809191824964,0.224184732569422,0.3,1,1,0,0.0,0.0,0.0,0.0,135,0
20020,r0013,0,2089.228975940947,2178.4115730750186,0.04268684675594542,0.3,1,1,0,0.0,0.0,0.0,0.0,100,0
20020,r0011,0,7380.298885797871,5439.721818293364,-0.26294017322778307,0.3,1,1,1,0.0,0.0,0.0,0.0,320,0
20020,r0004,0,157.2229262688743,149.57414188699784,-0.04864929411627855,0.3,1,1,0,0.0,0.0,0.0,0.0,7,0
20021,r0007,0,8131.69214896451,7254.700935296598,-0.10784855078159689,0.3,1,1,0,0.0,0.0,0.0,0.0,374,0
20021,r0021,0,3998.7683820425664,3156.2699433321536,-0.21068948191494546,0.3,1,1,1,0.0,0.0,0.0,0.0,173,0
20021,r0002,0,2567.5339402354475,2362.794471188784,-0.07974167968657456,0.3,1,1,0,0.0,0.0,0.0,0.0,118,0
20021,r0002,1,6038.2929540987825,6944.889657833792,0.15014122544677355,0.3,1,1,0,0.0,0.0,0.0,0.0,243,0
20021,r0017,0,4089.1003994069324,4262.437088901217,0.04238993239672584,0.3,1,1,0,0.0,0.0,0.0,0.0,164,0
20021,r0022,0,0.0,0.0,0.10236411777654825,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20021,r0022,1,1580.0032479926886,1228.0611564542867,-0.2227477013009472,0.3,1,1,1,283.21244869789086,283.21244869789086,0.0,36.70341809364215,119,3
20021,r0004,0,2116.5917717734264,1766.1095190072,-0.16558802573089854,0.3,1,1,0,0.0,0.0,0.0,0.0,83,0
20021,r0000,0,4664.648877699801,4655.790694192198,-0.0018990032775996202,0.3,1,1,0,0.0,0.0,0.0,0.0,199,0
20022,r0023,0,5106.43918213188,4661.596449417046,-0.08711407633550194,0.3,1,1,1,100.10419503844876,100.10419503844876,0.0,40.88026382746426,74,2
20022,r0001,0,4461.0792389285625,4419.362409861921,-0.00935128627678461,0.3,1,1,1,101.26166600674163,101.26166600674163,0.0,38.951145546976164,64,2
20022,r0019,0,401.57970715215197,506.0805017523006,0.26022429106597017,0.3,1,1,1,0.0,0.0,0.0,0.0,5,0
20022,r0022,0,0.0,0.0,0.03153069124696173,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20022,r0007,0,5423.0181716734005,6494.15226180822,0.1975162273528388,0.3,1,1,1,343.44835586964183,0.0,343.44835586964183,160.92911242246302,75,21
20022,r0002,0,0.0,0.0,-0.0855175836142428,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20022,r0009,0,3803.9635511923843,3952.7950961816537,0.039125386714764177,0.3,1,1,1,101.06875417869283,0.0,101.06875417869283,37.5108537373618,58,2
20022,r0013,0,3131.938108520182,2625.8368572872873,-0.1615936310670021,0.3,1,1,1,353.01160161043805,353.01160161043805,0.0,32.64675105851611,44,2
20022,r0006,0,0.0,0.0,0.07080260141265615,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20022,r0006,1,3878.509290001406,4921.573525059954,0.2689343139508556,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0017,0,7739.176092322012,7896.813581812275,0.020368768924466485,0.3,1,1,1,2014.1795311130772,1856.5420416228135,157.63748949026376,244.07389755064364,123,15
20023,r0001,0,0.0,0.0,-0.17351029433857446,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0003,0,5428.942370225781,7018.185247658027,0.29273526389747845,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0023,0,2595.9057748081323,2283.723992858841,-0.12025928867636382,0.3,1,1,1,1957.3160340763568,1957.3160340763568,0.0,89.99216364469088,39,15
20023,r0023,1,5806.779222140431,6868.898230943065,0.1829101758773477,0.3,1,1,0,0.0,0.0,0.0,0.0,254,0
20023,r0000,0,0.0,0.0,0.023051523852942513,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0000,1,694.4855609163787,901.5498512405337,0.29815492499359103,0.3,1,1,0,0.0,0.0,0.0,0.0,18,0
20023,r0007,0,0.0,0.0,0.21731206269998832,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0007,1,3605.8279856646986,4276.84098600256,0.1860912397944483,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20023,r0015,0,1046.6091676403157,869.3857890921407,-0.16933100151199967,0.3,1,1,1,1803.234300170404,1046.6091676403157,756.6251325300882,45.96881110013294,15,15
20023,r0015,1,3997.642772730851,4978.699906677697,0.24540890462723136,0.3,1,1,1,0.0,0.0,0.0,0.0,176,0
20023,r0015,2,4466.771425019368,5783.540925863068,0.2947922281109316,0.3,1,1,0,0.0,0.0,0.0,0.0,179,0
20023,r0005,0,10.80395133698039,10.31322661485719,-0.04542085639015425,0.3,1,1,1,1896.7839243275894,10.80395133698039,1885.979972990609,0.0,0,15
20023,r0005,1,5923.645458498901,6414.02920829066,0.08278411549566755,0.3,1,1,0,0.0,0.0,0.0,0.0,237,0
20024,r0014,0,4211.097448547718,3584.5070488168517,-0.14879503677763598,0.3,1,1,1,0.0,0.0,0.0,0.0,132,0
20024,r0014,1,5586.519937871796,5126.43118964512,-0.0823569509002681,0.3,1,1,0,0.0,0.0,0.0,0.0,164,0
20024,r0014,2,3083.6414792132273,3732.768915486834,0.2105067792897985,0.3,1,1,0,0.0,0.0,0.0,0.0,89,0
20024,r0019,0,1934.6825488699615,1526.3376208949944,-0.21106559740949715,0.3,1,1,0,0.0,0.0,0.0,0.0,54,0
20024,r0005,0,1311.8388183888128,1618.9280420335415,0.2340906667344182,0.3,1,1,0,0.0,0.0,0.0,0.0,39,0
20024,r0003,0,2806.206304334537,2862.817885198795,0.020173705966241462,0.3,1,1,1,0.0,0.0,0.0,0.0,78,0
20024,r0020,0,1595.8875058559388,1198.0386769931429,-0.2492962864881968,0.3,1,1,1,0.0,0.0,0.0,0.0,44,0
20024,r0022,0,2877.0068135117726,2324.67096629151,-0.1919828081832252,0.3,1,1,0,0.0,0.0,0.0,0.0,87,0
20024,r0012,0,3448.0931775567224,3966.5589660045703,0.15036304465972317,0.3,1,1,0,0.0,0.0,0.0,0.0,101,0
20024,r0012,1,9174.468245358581,7053.667001108047,-0.23116339688934678,0.3,1,1,0,0.0,0.0,0.0,0.0,251,0
20024,r0015,0,0.0,0.0,-0.23828183605908215,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20024,r0009,0,5716.545911232304,4715.731401687645,-0.17507329164945257,0.3,1,1,1,0.0,0.0,0.0,0.0,159,0
20024,r0009,1,6228.191618506709,5426.767246134763,-0.12867689715752498,0.3,1,1,0,0.0,0.0,0.0,0.0,170,0
20025,r0005,0,4523.854884685781,3258.601988422575,-0.2796846778941471,0.3,1,1,1,893.9800737865082,893.9800737865082,0.0,185.41360331434402,55,23
20025,r0021,0,8421.39080870352,6643.697412516061,-0.21109261362745566,0.3,1,1,1,499.3891650804527,499.3891650804527,0.0,291.4864282353267,105,23
20025,r0012,0,3817.1391318110764,3296.586861488314,-0.1363723595990021,0.3,1,1,1,1950.4654099994955,1950.4654099994955,0.0,164.19903833014752,45,23
20025,r0020,0,322.3500028339404,261.4849883897891,-0.1888165469491436,0.3,1,1,1,2048.0524089267997,322.3500028339404,1725.7024060928593,64.6999348897413,3,23
20025,r0020,1,6172.519376041411,7685.208988247117,0.24506842669092294,0.3,1,1,0,0.0,0.0,0.0,0.0,214,0
20025,r0000,0,0.0,0.0,-0.20496646489437131,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20025,r0013,0,0.0,0.0,-0.09532712336726781,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20025,r0013,1,0.0,0.0,-0.05670624466899832,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20025,r0003,0,0.0,0.0,0.2996501511511606,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20025,r0008,0,0.0,0.0,-0.04949434953870402,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20025,r0008,1,690.6549531881174,788.9155561484021,0.14227162566011592,0.3,1,1,0,0.0,0.0,0.0,0.0,7,0
20026,r0000,0,0.0,0.0,-0.017222568146624262,0.3,1,0,0,0.0,0.0,0.0,0.0,0,0
20026,r0021,0,3152.6110733033966,2295.4734183676655,-0.2718818258915768,0.3,1,1,0,0.0,0.0,0.0,0.0,151,0
20026,r0004,0,5493.548493459339,5098.735337825448,-0.07186851196525484,0.3,1,1,0,0.0,0.0,0.0,0.0,263,0
20026,r0005,0,5961.047343594844,7444.37069621418,0.24883602949625433,0.3,1,1,0,0.0,0.0,0.0,0.0,303,0
20026,r0019,0,3351.8648678594654,3597.0314725126627,0.07314334387524485,0.3,1,1,1,0.0,0.0,0.0,0.0,164,0
20026,r0019,1,6108.235740721564,7544.920372554472,0.23520451613466914,0.3,1,1,0,0.0,0.0,0.0,0.0,260,0
20026,r0003,0,6092.657774895619,4489.255898942444,-0.2631695288318808,0.3,1,1,1,0.0,0.0,0.0,0.0,357,0
20027,r0003,0,2187.924196110328,1747.8158232664039,-0.20115339170632363,0.3,1,1,1,0.0,0.0,0.0,0.0,73,0
