episode_seed,request_id,handover_index,lead_ms,predicted_lead_ms,eta_relative_error,eta_error_bound,anchor_confidence,prefetch_lambda_ms_per_mb,predicted_gain_ms,expected_gain_ms,guard_cost_ms,planned_prefetch_mb,guard_rejected,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,prefetched_mb,useful_prefetch_mb,wasted_prefetch_mb,wrong_anchor_waste_mb,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20013,r0017,0,2833.764312835081,2134.122341968109,-0.24689490502017258,0.4,0.6,2.0,2.5749733918923818e-12,1.544984035135429e-12,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,0
20013,r0023,0,900.572266397623,1216.732666831986,0.35106610788608383,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0016,0,1222.7791100842514,843.820128630332,-0.3099161396597695,0.4,0.6,2.0,-1.4065465182847138e-12,-8.439279109708282e-13,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0014,0,304.51575173239326,321.8486053469823,0.05691939913118543,0.4,0.6,2.0,5.489664734793827e-12,3.293798840876296e-12,0.0,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
20013,r0014,1,9424.254929499883,9059.764686657127,-0.03867576222941782,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20013,r0007,0,0.0,0.0,-0.11664377001836412,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0023,0,8033.333498555587,5931.057330416514,-0.26169412343170706,0.4,0.6,2.0,9287.200836438013,5572.320501862808,172.1015625,86.05078125,0,1,1,1,1233.1611351581885,1233.1611351581885,86.05078125,86.05078125,0.0,0.0,0.0,203.94604373135996,157,14
20014,r0011,0,1192.5081099565377,1358.319558352776,0.13904429413254182,0.4,0.6,2.0,2377.1884346435013,1426.3130607861008,67.4296875,33.71484375,0,1,1,1,497.01850250088285,331.20705410464507,22.467159717089345,22.467159717089345,0.0,0.0,165.81144839623778,49.33301430176915,23,14
20014,r0008,0,403.9129086801677,356.6304948103174,-0.11706091301798466,0.4,0.6,2.0,2450.297021201528,1470.1782127209167,48.30534945218003,24.152674726090016,0,1,1,1,480.864902411224,403.9129086801677,27.354859561882762,27.354859561882762,0.0,0.0,76.95199373105635,30.398866212596857,7,14
20014,r0001,0,3369.025829460674,2420.470030603303,-0.28155195206954514,0.4,0.6,2.0,1982.3135049117436,1189.388102947046,65.1328125,32.56640625,0,0,1,0,480.864902411224,0.0,32.56640625,0.0,32.56640625,32.56640625,0.0,0.0,62,14
20014,r0019,0,3811.065560287294,4069.1342568884716,0.06771562769487582,0.4,0.6,2.0,2163.023106248886,1297.8138637493316,111.5625,55.78125,0,1,1,1,807.3983899378972,549.3296933367201,37.95189257040238,37.95189257040238,0.0,0.0,258.06869660117707,109.33210034907304,75,14
20014,r0012,0,4394.603116529604,3099.072069563523,-0.29480046607466015,0.4,0.6,2.0,10232.617325340676,6139.570395204405,166.03125,83.015625,0,1,1,1,1190.4694777783761,1190.4694777783761,83.015625,83.015625,0.0,0.0,0.0,118.56272897173517,83,14
20014,r0000,0,0.0,0.0,-0.3524926092337781,0.4,0.6,2.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20014,r0022,0,5591.54770286792,5540.689290307508,-0.009095587708985609,0.4,0.6,2.0,5350.105075629138,3210.0630453774825,29.6953125,14.84765625,0,1,1,1,231.6379295993464,231.6379295993464,14.84765625,14.84765625,0.0,0.0,0.0,152.0237577288854,112,14
20014,r0015,0,902.2667775669106,1196.819218585848,0.32645825862417266,0.4,0.6,2.0,11659.02340893048,6995.414045358288,167.3824232460267,83.69121162301334,0,0,1,0,1388.9279931656122,0.0,63.09373934602317,0.0,63.09373934602317,63.09373934602317,0.0,0.0,17,14
20014,r0015,1,2937.194110018041,2343.591776407871,-0.20209843523297952,0.4,0.6,2.0,0.0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
