method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Full,DyBAP-Adapted,arrival_rate_rps,0.2,avg_e2e_reduction_pct,Average E2E reduction,41.78550759620484,%
Full,DyBAP-Adapted,arrival_rate_rps,0.2,p95_e2e_reduction_pct,P95 E2E reduction,39.27886245129157,%
Full,DyBAP-Adapted,arrival_rate_rps,0.2,slo_gain_pp,SLO satisfaction gain,17.08333333333335,percentage points
Full,DyBAP-Adapted,arrival_rate_rps,0.2,throughput_gain_pct,Throughput gain,3.3171869691164035,%
Full,DyBAP-Adapted,arrival_rate_rps,0.2,goodput_gain_pct,Goodput gain,34.110250134816816,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,23.626898518640427,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,15.821770914575877,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,4.499999999999998,percentage points
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,7.510349922072401,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,15.398222511648829,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,3.3496891061710707,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,-0.13603369442855964,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,0.666666666666671,percentage points
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,0.1849005640729551,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,1.4779424780499641,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,1.8030609508743645,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,0.9548787821366419,%
