episode_seed,request_id,handover_index,lead_ms,prediction_correct,had_prefetch_plan,accepted_prefetch,base_migration_ms,hidden_migration_ms,residual_base_ms,delta_sync_ms,delta_tokens,changed_blocks
20057,r0007,1,9542.128422259273,1,1,0,0.0,0.0,0.0,0.0,467,0
20057,r0010,0,5552.423525773207,1,1,1,3135.1795401674453,3135.1795401674453,0.0,248.4561064884344,94,19
20058,r0002,0,9646.980589078203,1,1,1,0.0,0.0,0.0,0.0,420,0
20058,r0017,0,3718.1484823045757,1,1,0,0.0,0.0,0.0,0.0,170,0
20058,r0009,0,7112.3922651315515,1,1,1,0.0,0.0,0.0,0.0,317,0
20059,r0004,0,2502.0706603717517,1,1,1,0.0,0.0,0.0,0.0,100,0
20060,r0013,0,17232.319233330672,1,1,1,1991.988734327222,1991.988734327222,0.0,440.93152589278543,215,22
20060,r0015,0,433.80499935356056,1,1,1,808.0342852620263,433.80499935356056,374.2292859084657,37.31069098419605,5,22
20060,r0006,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20060,r0019,0,2983.843747762756,1,1,1,779.2042256256984,779.2042256256984,0.0,96.89281423260687,36,22
20060,r0018,0,7486.221617863557,1,1,1,2172.6571080482095,2172.6571080482095,0.0,204.52503687489738,92,22
20060,r0021,0,3397.1940584035983,1,1,1,107.18148056061524,107.18148056061524,0.0,19.72337120139565,42,1
20061,r0007,0,1648.569395567345,1,1,1,842.2314032343356,842.2314032343356,0.0,85.36964859937264,29,13
20061,r0004,0,6418.434769833493,1,1,1,2244.3533132953526,2244.3533132953526,0.0,253.78660740554403,112,13
20061,r0006,0,7210.747053066945,1,1,1,1753.3062767761544,1753.3062767761544,0.0,270.0195672904762,120,13
20061,r0003,0,286.567814162132,1,1,1,2116.518754201512,286.567814162132,1829.95094003938,28.734140460182736,4,13
20061,r0020,0,8787.955943766647,1,1,1,420.1744462260989,420.1744462260989,0.0,332.9222868445884,151,13
20062,r0010,0,5884.248615917299,1,1,0,0.0,0.0,0.0,0.0,278,0
20064,r0009,0,5092.224098226857,1,1,0,0.0,0.0,0.0,0.0,230,0
20064,r0004,0,4052.4465169088216,1,1,0,0.0,0.0,0.0,0.0,183,0
20065,r0000,0,8667.998669069137,1,1,0,0.0,0.0,0.0,0.0,383,0
20066,r0001,0,6033.505681678169,1,1,1,302.94889450809757,302.94889450809757,0.0,40.99345132093025,87,1
20066,r0022,0,11754.432759593641,1,1,1,263.7170392205274,263.7170392205274,0.0,60.034378710492,170,1
20066,r0020,0,9550.134295307074,1,1,1,245.75297916779795,245.75297916779795,0.0,52.693298271142886,138,1
20066,r0000,0,7833.905615788859,1,1,1,62.55787511151825,62.55787511151825,0.0,49.02275805146834,122,1
20066,r0006,0,1744.313899562956,1,1,1,250.08913159431887,250.08913159431887,0.0,27.22892549715067,27,1
20066,r0012,0,13007.453398817132,1,1,1,271.56341027804143,271.56341027804143,0.0,65.76959780373349,195,1
20067,r0014,0,6580.812976988262,1,1,1,0.0,0.0,0.0,0.0,260,0
20067,r0013,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20067,r0000,0,9498.57805323563,1,1,1,0.0,0.0,0.0,0.0,389,0
20068,r0022,0,4557.468669088592,1,1,1,2015.5389725935588,2015.5389725935588,0.0,122.82486718040698,53,18
20068,r0008,0,6410.152412564017,1,1,1,615.6425926872604,615.6425926872604,0.0,36.05549820667802,75,3
20068,r0023,0,8074.76030901714,1,1,1,200.48788700892965,200.48788700892965,0.0,143.31595490421586,98,11
20068,r0011,0,16674.112159741475,1,1,1,1968.4475211670112,1968.4475211670112,0.0,385.45026936692085,198,18
20068,r0020,0,18998.69231842747,1,1,1,894.836859527048,894.836859527048,0.0,246.8882956736249,223,11
20069,r0009,0,6383.668965723969,1,1,1,0.0,0.0,0.0,0.0,340,0
20069,r0014,0,2992.3270353836997,1,1,1,0.0,0.0,0.0,0.0,164,0
20069,r0011,0,4252.0753384485,1,1,0,0.0,0.0,0.0,0.0,232,0
20070,r0012,0,3173.529961114342,1,1,1,0.0,0.0,0.0,0.0,146,0
20070,r0009,0,4275.383731305075,1,1,1,0.0,0.0,0.0,0.0,197,0
20070,r0018,0,3888.1036575767503,1,1,0,0.0,0.0,0.0,0.0,183,0
20071,r0009,0,10259.79380755212,1,1,0,0.0,0.0,0.0,0.0,476,0
20072,r0009,0,16510.99853905192,1,1,1,0.0,0.0,0.0,0.0,332,0
20072,r0021,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20072,r0015,0,5131.049282012074,1,1,1,2734.1032621087743,2734.1032621087743,0.0,288.57713199681086,101,15
20072,r0004,0,5011.4312909806395,1,1,1,3082.686051256136,3082.686051256136,0.0,272.23731375552825,95,15
20072,r0005,0,9531.708290025868,1,1,1,2990.0937478888677,2990.0937478888677,0.0,498.271466093271,178,15
20072,r0007,0,1440.3831150615588,1,1,1,2938.3509901248067,1440.3831150615588,1497.967875063248,84.32940398077828,26,15
20073,r0000,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20073,r0017,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20074,r0014,0,1404.0513435293215,1,1,0,0.0,0.0,0.0,0.0,61,0
20074,r0023,0,127.36137696320657,1,1,1,0.0,0.0,0.0,0.0,5,0
20075,r0003,0,7926.499906461184,1,1,0,0.0,0.0,0.0,0.0,358,0
20076,r0011,0,8697.564512855775,1,1,1,0.0,0.0,0.0,0.0,408,0
20076,r0015,0,4845.789764157493,1,1,0,0.0,0.0,0.0,0.0,237,0
20077,r0011,0,11126.586022425647,1,1,1,0.0,0.0,0.0,0.0,558,0
20077,r0004,0,1031.9026052237532,1,1,1,0.0,0.0,0.0,0.0,48,0
20077,r0007,0,3041.925505280029,1,1,0,0.0,0.0,0.0,0.0,153,0
20079,r0010,0,9706.264975323998,1,1,0,0.0,0.0,0.0,0.0,425,0
20079,r0013,0,1431.1398874935257,1,1,0,0.0,0.0,0.0,0.0,62,0
20079,r0012,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20080,r0018,0,5453.473896858941,1,1,1,0.0,0.0,0.0,0.0,214,0
20080,r0000,0,6612.203619825308,1,1,0,0.0,0.0,0.0,0.0,262,0
20080,r0005,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20081,r0012,0,7736.472569342339,1,1,0,0.0,0.0,0.0,0.0,259,0
20081,r0004,0,124.27066804007336,1,1,1,1097.7917094491625,124.27066804007336,973.5210414090891,50.58193954041944,4,28
20081,r0010,0,1337.3260173548333,1,1,1,3222.419223398631,1337.3260173548333,1885.0932060437976,143.72319311403362,41,28
20081,r0005,0,6547.579814435958,1,1,0,0.0,0.0,0.0,0.0,201,0
20081,r0016,0,5256.821591058135,1,1,1,2925.649491570063,2925.649491570063,0.0,498.40755028363117,162,28
20082,r0000,0,11451.328902813366,1,1,1,3908.551860010965,3908.551860010965,0.0,519.6817947401075,128,25
20085,r0008,0,11578.818604792097,1,1,1,1310.5716118826663,1310.5716118826663,0.0,385.8675640290446,301,9
20085,r0023,0,3064.055423584614,1,1,1,268.38943971053413,268.38943971053413,0.0,117.85070006830017,78,9
20085,r0014,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20085,r0020,0,8044.512114604375,1,1,1,1246.598375867636,1246.598375867636,0.0,280.0209371678124,210,9
20085,r0007,0,1866.7612321680353,1,1,1,754.3738556558219,754.3738556558219,0.0,73.8596070068604,45,9
20087,r0023,0,6928.633067208913,1,1,0,0.0,0.0,0.0,0.0,314,0
20087,r0002,0,6875.48990559674,1,1,0,0.0,0.0,0.0,0.0,312,0
20087,r0008,0,1059.337441091946,1,1,0,0.0,0.0,0.0,0.0,48,0
20087,r0011,0,9072.648351066124,1,1,0,0.0,0.0,0.0,0.0,412,0
20088,r0001,0,1670.7761762084756,1,1,1,0.0,0.0,0.0,0.0,72,0
20088,r0022,0,3294.055526249038,1,1,1,0.0,0.0,0.0,0.0,141,0
20089,r0013,0,3266.82557773617,1,1,0,0.0,0.0,0.0,0.0,173,0
20090,r0020,0,2880.569824703438,1,1,1,0.0,0.0,0.0,0.0,133,0
20090,r0003,0,7203.882959113798,1,1,0,0.0,0.0,0.0,0.0,314,0
20090,r0002,0,6461.794510188054,1,1,0,0.0,0.0,0.0,0.0,282,0
20090,r0005,0,1975.948274092414,1,1,0,0.0,0.0,0.0,0.0,86,0
20090,r0012,0,13063.0282160087,1,1,0,0.0,0.0,0.0,0.0,570,0
20091,r0016,0,14451.229042127767,1,1,1,0.0,0.0,0.0,0.0,361,0
20091,r0020,0,1554.1567570191146,1,1,1,2194.683905928954,1554.1567570191146,640.5271489098395,128.28965079194126,34,18
20091,r0010,0,12014.416833425425,1,1,1,1358.687580703881,1358.687580703881,0.0,358.8442479595253,270,10
20091,r0000,0,2755.8397879932854,1,1,0,0.0,0.0,0.0,0.0,62,0
20091,r0004,0,11929.396682463255,1,1,1,2229.7670511993797,2229.7670511993797,0.0,595.9967584146323,268,18
20092,r0013,0,8901.537401411773,1,1,0,0.0,0.0,0.0,0.0,385,0
20092,r0021,0,5418.771912989836,1,1,0,0.0,0.0,0.0,0.0,234,0
20093,r0000,0,6358.8579564922475,1,1,0,0.0,0.0,0.0,0.0,241,0
20093,r0018,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20093,r0013,0,50.145118727115914,1,1,0,0.0,0.0,0.0,0.0,2,0
20094,r0019,0,7299.793079320917,1,1,0,0.0,0.0,0.0,0.0,383,0
20094,r0017,0,7834.242788905474,1,1,0,0.0,0.0,0.0,0.0,411,0
20095,r0022,0,8177.602072719823,1,1,1,1846.831504431187,1846.831504431187,0.0,269.3702849269885,145,13
20095,r0005,0,14250.07524392102,1,1,1,1910.140984812627,1910.140984812627,0.0,441.71275929868466,243,13
20095,r0002,0,6839.118890646918,1,1,1,679.1233107290825,679.1233107290825,0.0,218.3709812863845,116,13
20095,r0011,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20095,r0001,0,9886.606992855544,1,1,1,2138.758552856714,2138.758552856714,0.0,302.7836217949704,164,13
20095,r0010,0,13459.57451742162,1,1,1,1595.3521795826919,1595.3521795826919,0.0,411.8166157852272,226,13
20096,r0004,0,6895.815547818922,1,1,1,0.0,0.0,0.0,0.0,321,0
20096,r0018,0,1074.68562640874,1,1,1,0.0,0.0,0.0,0.0,50,0
20096,r0019,0,1425.758425929027,1,1,1,0.0,0.0,0.0,0.0,64,0
20096,r0007,0,1380.6706594064744,1,1,1,0.0,0.0,0.0,0.0,59,0
20096,r0021,0,6121.32198661835,1,1,0,0.0,0.0,0.0,0.0,265,0
20097,r0011,0,7971.268191806021,1,1,0,0.0,0.0,0.0,0.0,326,0
20097,r0017,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20097,r0008,0,7722.914410295791,1,1,1,0.0,0.0,0.0,0.0,285,0
20097,r0009,0,3107.6941405229154,1,1,1,0.0,0.0,0.0,0.0,119,0
20098,r0022,0,1847.4354627291978,1,1,0,0.0,0.0,0.0,0.0,89,0
20099,r0022,0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,0
20099,r0007,0,10513.19607153528,1,1,1,0.0,0.0,0.0,0.0,423,0
